#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.
153,"Serenade in E Major for Strings, Op. 22: II. Menuetto",Antonín Dvořák,2001-04-30,82,9,18,-19,16,7:13,74,28
154,Waves - Robin Schulz Radio Edit,Mr. Probz,2014-02-07,120,51,83,-9,44,3:23,1,58
155,The Hanging Tree,Angus & Julia Stone,2014-02-24,94,29,59,-13,26,2:52,47,40
156,Steal My Sunshine,Len,1999-05-25,191,83,41,-11,68,4:26,39,61
157,Peggy,Orchards,2016-03-26,130,87,56,-5,50,3:59,1,0
158,Distance to Gibraltar,The American Dollar,2015-12-11,115,64,29,-8,7,4:03,48,21
159,One Dance,Drake,2016-05-13,104,62,79,-6,38,2:54,1,74
160,Le tour,MHA,2016-03-25,160,29,45,-15,18,3:22,91,18
161,Cartouche,Blackmore's Night,2003-06-30,130,60,62,-6,42,3:48,9,37
162,Returning The Smile You Have Had From The Start,Emery,2010-01-01,156,95,27,-4,49,3:05,0,15
163,Pachuca Sunrise,Minus the Bear,2005-08-23,155,88,47,-6,71,3:35,3,50
164,Life Size Ghosts,Mt. Wolf,2012-11-05,150,38,50,-11,5,4:09,68,36
165,Deserter,pg.lost,2016-09-16,81,65,38,-8,8,6:57,0,6
166,Dusty Rose (feat. Ayla Nereo),The Human Experience,2014-10-22,120,54,66,-12,31,4:24,68,25
167,Anthem,Emancipator,2006-12-06,170,52,47,-10,31,5:40,79,49
168,Modern Mystery,Someone Still Loves You Boris Yeltsin,2008-04-08,140,61,65,-8,60,4:19,4,22
169,Never Going Back Again - 2004 Remastered Edition,Fleetwood Mac,1977-02-04,176,34,65,-13,95,2:14,86,66
170,Oscar Wilde,Company of Thieves,2009-01-06,118,65,68,-7,46,4:41,4,0
171,II,LUCHS,2016-09-14,122,7,49,-22,48,2:07,99,0
172,Spell,Collectress,2014-03-24,90,23,55,-16,30,2:43,98,16
173,Intro,Bayonne,2016-05-13,136,62,40,-8,11,6:33,67,8
174,Appeals,Bayonne,2016-05-13,159,88,54,-6,70,4:01,15,17
175,Marim,Bayonne,2016-05-13,110,83,66,-10,83,3:57,81,4
176,Steps,Bayonne,2016-05-13,82,63,41,-9,54,4:42,90,2
177,Lates,Bayonne,2016-05-13,127,66,49,-8,8,6:25,85,4
178,Omar,Bayonne,2016-05-13,147,60,56,-8,53,5:55,46,6
179,Hammond,Bayonne,2016-05-13,145,69,50,-8,29,5:12,68,3
180,Sincere,Bayonne,2016-05-13,136,65,71,-7,91,4:42,54,9
181,In the Darkness,fox capture plan,2015-11-04,66,86,21,-6,54,4:42,20,16
182,Young Again,Young Liars,2014-06-24,130,47,60,-9,26,3:29,12,27
183,Butterfly Effect,fox capture plan,2015-11-04,90,89,36,-6,86,4:55,2,37
184,Waves,Bayonne,2016-05-13,112,73,53,-7,15,6:30,78,7
185,Great Big God of Hands,James Elkington,2015-07-24,146,45,35,-14,35,3:15,85,41
186,To the Order of Night,Balmorhea,2010-02-23,52,1,40,-30,14,2:28,99,0
187,Winter Circle,Balmorhea,2010-02-23,73,3,16,-21,3,2:21,99,0
188,Herons,Balmorhea,2010-02-23,94,7,66,-19,7,3:05,93,0
189,Constellations,Balmorhea,2010-02-23,84,5,32,-29,17,3:57,99,0
190,Steerage and the Lamp,Balmorhea,2010-02-23,64,19,17,-15,5,7:14,99,0
191,Night Squall,Balmorhea,2010-02-23,119,26,51,-16,9,3:36,71,0
192,On the Weight of Night,Balmorhea,2010-02-23,101,13,28,-12,4,4:44,59,0
193,Palestrina,Balmorhea,2010-02-23,71,12,16,-18,3,5:28,86,0
194,Bowspirit,Balmorhea,2010-02-23,92,18,33,-11,17,5:17,42,5
195,Less is Moi,Stuart Duncan,2011-10-21,150,19,56,-19,48,7:28,90,50
196,Roll To Me,Del Amitri,1995-01-01,150,80,57,-6,86,2:12,42,60
197,Jack & Diane,John Mellencamp,2004-01-01,104,41,82,-8,57,4:16,3,4
198,Hold Out,Washed Out,2010-03-01,102,94,68,-2,39,3:29,23,0
199,Always Straight Ahead,This Day & Age,2006-08-22,119,85,53,-5,37,5:11,1,17
200,Prelude,Epsilona,2015-11-28,140,54,40,-9,4,1:46,9,3
201,Think About It,Epsilona,2015-11-28,148,82,70,-6,36,3:05,4,11
202,The Creamy Factor,Epsilona,2015-11-28,157,78,55,-6,27,3:58,10,9
203,Trance,Epsilona,2015-11-28,112,65,64,-5,9,2:39,3,7
204,Thinkers,Epsilona,2015-11-28,143,74,36,-7,36,4:57,2,7
205,Going Home,Epsilona,2015-11-28,140,80,38,-6,46,5:29,3,25
206,You Get What You Give,New Radicals,1998-01-01,114,90,62,-5,71,5:01,17,75
207,Gymnopedie,Emile Pandolfi,2006-03-06,94,4,49,-22,24,4:25,99,45
208,Narita,Lymbyc Systym,2009,112,42,51,-9,4,3:09,4,25
209,序,Elephant Gym,2014-07-22,120,15,85,-19,78,1:05,99,0
210,遊戲,Elephant Gym,2014-07-22,130,86,64,-7,49,4:06,6,0
211,燈,Elephant Gym,2014-07-22,92,51,66,-9,76,2:57,69,0
212,堅固耐用的梯子,Elephant Gym,2014-07-22,110,84,63,-6,85,3:45,40,0
213,日常的航道,Elephant Gym,2014-07-22,92,55,62,-9,47,5:08,0,0
214,頭,Elephant Gym,2014-07-22,75,9,55,-22,35,0:56,83,0
215,身體,Elephant Gym,2014-07-22,124,76,28,-8,21,4:09,64,0
216,青蛙,Elephant Gym,2014-07-22,136,90,32,-5,56,5:12,0,0
217,鳥鳴,Elephant Gym,2014-07-22,127,54,51,-7,26,4:31,29,0
218,天鵝,Elephant Gym,2014-07-22,125,65,51,-9,14,10:14,69,0
219,"Lights Out, Words Gone",Bombay Bicycle Club,2011-01-01,106,76,65,-7,65,5:01,58,57
220,白日,Elephant Gym,2014-07-22,121,67,51,-8,63,4:14,34,0
221,I Want to Be Buried in Your Backyard,Nightmare Of You,2005-09-13,147,86,52,-5,83,4:07,1,34
222,Pachuca Sunrise,Minus the Bear,2005-08-23,155,88,47,-6,71,3:35,3,0
223,Dreams,Vitas,2001,100,91,64,-8,39,6:12,35,2
224,7 Element,Vitas,2001,130,79,73,-7,96,4:10,33,19
